id	region	mode	final	fast	suite	equiv	deep	directed
153	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
154	engine_ctrl	const0	killed_full	survived	killed	-	-	-
155	engine_ctrl	const1	killed_fast	killed	-	-	-	-
156	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
157	engine_ctrl	const0	killed_full	survived	killed	-	-	-
158	engine_ctrl	inv	survived	survived	survived	not_proven	survived	-
159	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
160	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
161	engine_ctrl	const1	killed_fast	killed	-	-	-	-
162	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
163	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
164	engine_ctrl	const1	killed_fast	killed	-	-	-	-
165	engine_ctrl	const1	killed_full	survived	killed	-	-	-
166	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
167	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
168	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
169	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
170	engine_ctrl	const1	killed_fast	killed	-	-	-	-
171	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
172	engine_ctrl	const1	killed_full	survived	killed	-	-	-
173	engine_ctrl	inv	killed_full	survived	killed	-	-	-
174	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
175	engine_ctrl	const0	killed_fast	killed	-	-	-	-
176	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
177	engine_ctrl	const1	killed_fast	killed	-	-	-	-
178	engine_ctrl	inv	killed_full	survived	killed	-	-	-
179	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
180	engine_ctrl	inv	killed_full	survived	killed	-	-	-
181	engine_ctrl	const0	survived	survived	survived	not_proven	killed	-
182	engine_ctrl	inv	killed_fast	killed	-	-	-	-
183	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
184	engine_ctrl	const1	killed_fast	killed	-	-	-	-
185	engine_ctrl	const1	survived	survived	survived	not_proven	killed	-
186	engine_ctrl	const1	killed_full	survived	killed	-	-	-
187	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
188	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
189	engine_ctrl	inv	killed_full	survived	killed	-	-	-
190	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
191	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
192	engine_ctrl	const0	killed_full	survived	killed	-	-	-
193	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
194	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
195	engine_ctrl	inv	killed_fast	killed	-	-	-	-
196	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
197	engine_ctrl	const0	killed_full	survived	killed	-	-	-
198	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
199	engine_ctrl	cnot1	survived	survived	survived	equivalent	-	-
200	engine_ctrl	inv	killed_fast	killed	-	-	-	-
201	engine_ctrl	const1	killed_fast	killed	-	-	-	-
202	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
203	engine_ctrl	const0	killed_full	survived	killed	-	-	-
204	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
205	engine_ctrl	const0	killed_full	survived	killed	-	-	-
206	engine_ctrl	inv	survived	survived	survived	not_proven	survived	-
207	engine_ctrl	inv	killed_fast	killed	-	-	-	-
208	engine_ctrl	cnot0	survived	survived	survived	not_proven	survived	-
209	engine_ctrl	const1	killed_fast	killed	-	-	-	-
210	engine_ctrl	inv	killed_fast	killed	-	-	-	-
211	engine_ctrl	const1	killed_fast	killed	-	-	-	-
212	engine_ctrl	inv	killed_fast	killed	-	-	-	-
213	engine_ctrl	const0	killed_fast	killed	-	-	-	-
214	engine_ctrl	inv	killed_fast	killed	-	-	-	-
215	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
216	engine_ctrl	inv	killed_full	survived	killed	-	-	-
217	engine_ctrl	inv	killed_fast	killed	-	-	-	-
218	engine_ctrl	const1	killed_fast	killed	-	-	-	-
219	engine_ctrl	const1	survived	survived	survived	not_proven	killed	-
220	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
221	engine_ctrl	const1	killed_fast	killed	-	-	-	-
222	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
223	engine_ctrl	const0	killed_fast	killed	-	-	-	-
224	engine_ctrl	const1	killed_fast	killed	-	-	-	-
225	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
226	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
227	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
228	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
229	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
230	engine_ctrl	const1	killed_full	survived	killed	-	-	-
231	engine_ctrl	const1	killed_fast	killed	-	-	-	-
232	engine_ctrl	const0	killed_full	survived	killed	-	-	-
233	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
234	engine_ctrl	const1	killed_fast	killed	-	-	-	-
235	engine_ctrl	inv	killed_fast	killed	-	-	-	-
236	engine_ctrl	const1	killed_fast	killed	-	-	-	-
237	engine_ctrl	const0	killed_full	survived	killed	-	-	-
238	engine_ctrl	const0	killed_full	survived	killed	-	-	-
239	engine_ctrl	inv	killed_fast	killed	-	-	-	-
240	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
241	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
242	engine_ctrl	inv	killed_full	survived	killed	-	-	-
243	engine_ctrl	inv	killed_fast	killed	-	-	-	-
244	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
245	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
246	engine_ctrl	cnot1	survived	survived	survived	equivalent	-	-
247	engine_ctrl	const0	killed_fast	killed	-	-	-	-
248	engine_ctrl	const1	killed_full	survived	killed	-	-	-
249	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
250	engine_ctrl	const1	killed_full	survived	killed	-	-	-
251	engine_ctrl	cnot0	survived	survived	survived	not_proven	killed	-
252	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
253	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
254	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
255	engine_ctrl	inv	killed_fast	killed	-	-	-	-
256	engine_ctrl	const1	killed_full	survived	killed	-	-	-
257	engine_ctrl	const1	killed_fast	killed	-	-	-	-
258	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
259	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
260	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
261	engine_ctrl	cnot0	survived	survived	survived	not_proven	survived	-
262	engine_ctrl	inv	survived	survived	survived	not_proven	survived	-
263	engine_ctrl	const1	survived	survived	survived	equivalent	-	-
264	engine_ctrl	const1	killed_fast	killed	-	-	-	-
265	engine_ctrl	const0	killed_full	survived	killed	-	-	-
266	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
267	engine_ctrl	inv	killed_full	survived	killed	-	-	-
268	engine_ctrl	const1	killed_fast	killed	-	-	-	-
269	engine_ctrl	inv	killed_fast	killed	-	-	-	-
270	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
271	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
272	engine_ctrl	const1	killed_fast	killed	-	-	-	-
273	engine_ctrl	inv	killed_fast	killed	-	-	-	-
274	engine_ctrl	const0	survived	survived	survived	not_proven	killed	-
275	engine_ctrl	inv	killed_full	survived	killed	-	-	-
276	engine_ctrl	inv	survived	survived	survived	not_proven	killed	-
277	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
278	engine_ctrl	const0	killed_full	survived	killed	-	-	-
279	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
280	engine_ctrl	const0	killed_fast	killed	-	-	-	-
281	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
282	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
283	engine_ctrl	const0	killed_full	survived	killed	-	-	-
284	engine_ctrl	const0	killed_fast	killed	-	-	-	-
285	engine_ctrl	const1	killed_fast	killed	-	-	-	-
286	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
287	engine_ctrl	const0	killed_fast	killed	-	-	-	-
288	engine_ctrl	const0	killed_fast	killed	-	-	-	-
289	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
290	engine_ctrl	const0	killed_full	survived	killed	-	-	-
291	engine_ctrl	const1	killed_fast	killed	-	-	-	-
292	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
293	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
294	engine_ctrl	const1	killed_fast	killed	-	-	-	-
295	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
296	engine_ctrl	cnot1	survived	survived	survived	not_proven	killed	-
297	engine_ctrl	const0	killed_full	survived	killed	-	-	-
298	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
299	engine_ctrl	const0	killed_fast	killed	-	-	-	-
300	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
301	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
302	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
303	engine_ctrl	cnot0	survived	survived	survived	not_proven	survived	-
304	engine_ctrl	const0	killed_fast	killed	-	-	-	-
305	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
306	engine_ctrl	const1	killed_fast	killed	-	-	-	-
307	engine_ctrl	const1	killed_fast	killed	-	-	-	-
308	engine_ctrl	const1	killed_fast	killed	-	-	-	-
309	engine_ctrl	const1	killed_full	survived	killed	-	-	-
310	engine_ctrl	const1	killed_fast	killed	-	-	-	-
311	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
312	engine_ctrl	const1	killed_fast	killed	-	-	-	-
313	engine_ctrl	inv	killed_full	survived	killed	-	-	-
314	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
315	engine_ctrl	const0	killed_full	survived	killed	-	-	-
316	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
317	engine_ctrl	const1	killed_fast	killed	-	-	-	-
318	engine_ctrl	inv	killed_fast	killed	-	-	-	-
319	engine_ctrl	const1	killed_fast	killed	-	-	-	-
320	engine_ctrl	inv	killed_fast	killed	-	-	-	-
321	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
322	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
323	engine_ctrl	const0	killed_full	survived	killed	-	-	-
324	engine_ctrl	inv	killed_full	survived	killed	-	-	-
325	engine_ctrl	inv	killed_fast	killed	-	-	-	-
326	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
327	engine_ctrl	inv	killed_fast	killed	-	-	-	-
328	engine_ctrl	inv	killed_fast	killed	-	-	-	-
329	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
330	engine_ctrl	inv	killed_fast	killed	-	-	-	-
331	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
332	engine_ctrl	const0	killed_fast	killed	-	-	-	-
333	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
334	engine_ctrl	inv	killed_fast	killed	-	-	-	-
335	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
336	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
337	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
338	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
339	engine_ctrl	const0	killed_fast	killed	-	-	-	-
340	engine_ctrl	const1	killed_full	survived	killed	-	-	-
341	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
342	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
343	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
344	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
345	engine_ctrl	inv	killed_full	survived	killed	-	-	-
346	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
347	engine_ctrl	cnot1	survived	survived	survived	not_proven	killed	-
348	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
349	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
350	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
351	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
352	engine_ctrl	const0	killed_full	survived	killed	-	-	-
353	engine_ctrl	const0	killed_full	survived	killed	-	-	-
354	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
355	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
356	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
357	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
358	engine_ctrl	inv	killed_fast	killed	-	-	-	-
359	engine_ctrl	const0	killed_fast	killed	-	-	-	-
360	engine_ctrl	inv	killed_fast	killed	-	-	-	-
361	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
362	engine_ctrl	const0	killed_fast	killed	-	-	-	-
363	engine_ctrl	const1	survived	survived	survived	not_proven	survived	-
364	engine_ctrl	const1	killed_full	survived	killed	-	-	-
365	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
366	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
367	engine_ctrl	const0	killed_full	survived	killed	-	-	-
368	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
369	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
370	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
371	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
372	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
373	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
374	engine_ctrl	const1	survived	survived	survived	not_proven	killed	-
375	engine_ctrl	const0	killed_fast	killed	-	-	-	-
376	engine_ctrl	inv	killed_fast	killed	-	-	-	-
377	engine_ctrl	const1	survived	survived	survived	not_proven	survived	-
378	engine_ctrl	const1	killed_full	survived	killed	-	-	-
379	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
380	engine_ctrl	inv	killed_full	survived	killed	-	-	-
381	engine_ctrl	const0	killed_fast	killed	-	-	-	-
382	engine_ctrl	inv	killed_fast	killed	-	-	-	-
383	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
384	engine_ctrl	const0	killed_full	survived	killed	-	-	-
385	engine_ctrl	inv	killed_fast	killed	-	-	-	-
386	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
387	engine_ctrl	const1	killed_full	survived	killed	-	-	-
388	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
389	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
390	engine_ctrl	inv	killed_fast	killed	-	-	-	-
