id	region	mode	port	equiv	rip	deep	directed	diverged_state	outputs
293	engine_ctrl	cnot1	A[30]	not_proven	not_activated	survived	survived		
297	engine_ctrl	cnot1	A[17]	not_proven	not_activated	survived	survived		
302	engine_ctrl	const0	B[13]	not_proven	not_activated	survived	survived		
303	engine_ctrl	const0	A[20]	not_proven	not_activated	survived	survived		
308	engine_ctrl	const0	Y[31]	not_proven	not_activated	survived	survived		
309	engine_ctrl	cnot1	Y[23]	not_proven	not_activated	survived	survived		
311	engine_ctrl	cnot1	Y[7]	not_proven	internal_only	survived	survived	blocked_cycles:3506	
312	engine_ctrl	const0	A[27]	not_proven	not_activated	survived	survived		
313	engine_ctrl	cnot1	A[1]	not_proven	not_activated	survived	survived		
315	engine_ctrl	const0	B[14]	not_proven	not_activated	survived	survived		
317	engine_ctrl	const0	B[23]	not_proven	not_activated	survived	survived		
318	engine_ctrl	const0	A[12]	not_proven	not_activated	survived	survived		
322	engine_ctrl	const0	A[19]	not_proven	not_activated	survived	survived		
323	engine_ctrl	cnot1	Y[10]	not_proven	not_activated	survived	survived		
325	engine_ctrl	inv	A[9]	not_proven	internal_only	survived	survived	wait_timer_0:109066	
326	engine_ctrl	const0	Y[21]	not_proven	not_activated	survived	survived		
327	engine_ctrl	const0	A[19]	not_proven	not_activated	survived	survived		
328	engine_ctrl	inv	A[28]	not_proven	internal_only	killed	survived	completed_instructions_0:13654,_3612:54	
329	engine_ctrl	cnot1	A[19]	not_proven	not_activated	survived	survived		
336	engine_ctrl	const1	A[23]	not_proven	internal_only	killed	killed	blocked_cycles_1:36522	
338	engine_ctrl	cnot1	Y[13]	not_proven	not_activated	survived	survived		
341	engine_ctrl	cnot0	A[10]	not_proven	internal_only	killed	killed	blocked_cycles_2:67341	
344	engine_ctrl	cnot1	B[22]	equivalent	not_activated	survived	survived		
347	engine_ctrl	const1	B[16]	not_proven	internal_only	killed	survived	blocked_cycles_1:15	
