id	region	mode	final	fast	full	equiv	deep	directed
199	engine_ctrl	inv	killed_fast	killed	-	-	-	-
200	engine_ctrl	const1	killed_fast	killed	-	-	-	-
201	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
202	engine_ctrl	const1	killed_fast	killed	-	-	-	-
203	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
204	engine_ctrl	const0	survived	survived	survived	not_proven	killed	survived
205	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
206	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
207	engine_ctrl	const0	killed_fast	killed	-	-	-	-
208	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
209	engine_ctrl	const0	survived	survived	survived	equivalent	survived	survived
210	engine_ctrl	inv	killed_fast	killed	-	-	-	-
211	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
212	engine_ctrl	const0	killed_fast	killed	-	-	-	-
213	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
214	engine_ctrl	const0	killed_full	survived	killed	-	-	-
215	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
216	engine_ctrl	const1	killed_full	survived	killed	-	-	-
217	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
218	engine_ctrl	const1	killed_fast	killed	-	-	-	-
219	engine_ctrl	const1	killed_fast	killed	-	-	-	-
220	engine_ctrl	inv	killed_full	survived	killed	-	-	-
221	engine_ctrl	cnot1	survived	survived	survived	not_proven	killed	survived
222	engine_ctrl	const1	killed_fast	killed	-	-	-	-
223	engine_ctrl	const0	killed_fast	killed	-	-	-	-
224	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
225	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
226	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
227	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
228	engine_ctrl	const1	killed_fast	killed	-	-	-	-
229	engine_ctrl	const1	killed_fast	killed	-	-	-	-
230	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
231	engine_ctrl	const0	survived	survived	survived	not_proven	survived	killed
232	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
233	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
234	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
235	engine_ctrl	const1	killed_full	survived	killed	-	-	-
236	engine_ctrl	inv	killed_fast	killed	-	-	-	-
237	engine_ctrl	const1	killed_fast	killed	-	-	-	-
238	engine_ctrl	const0	killed_fast	killed	-	-	-	-
239	engine_ctrl	const1	killed_full	survived	killed	-	-	-
240	engine_ctrl	const1	survived	survived	survived	not_proven	killed	survived
241	engine_ctrl	const1	survived	survived	survived	not_proven	killed	survived
242	engine_ctrl	inv	killed_full	survived	killed	-	-	-
243	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
244	engine_ctrl	const0	killed_full	survived	killed	-	-	-
245	engine_ctrl	const1	killed_fast	killed	-	-	-	-
246	engine_ctrl	const1	survived	survived	survived	not_proven	killed	killed
247	engine_ctrl	inv	killed_fast	killed	-	-	-	-
248	engine_ctrl	inv	killed_full	survived	killed	-	-	-
249	engine_ctrl	const1	killed_fast	killed	-	-	-	-
250	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
251	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
252	engine_ctrl	const1	killed_fast	killed	-	-	-	-
253	engine_ctrl	const0	killed_fast	killed	-	-	-	-
254	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
255	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
256	engine_ctrl	const1	killed_fast	killed	-	-	-	-
257	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
258	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
259	engine_ctrl	inv	killed_fast	killed	-	-	-	-
260	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
261	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
262	engine_ctrl	const0	survived	survived	survived	equivalent	survived	survived
263	engine_ctrl	const0	killed_full	survived	killed	-	-	-
264	engine_ctrl	inv	killed_fast	killed	-	-	-	-
265	engine_ctrl	const0	survived	survived	survived	equivalent	survived	survived
266	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
267	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
268	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	killed
269	engine_ctrl	const1	killed_fast	killed	-	-	-	-
270	engine_ctrl	const1	killed_fast	killed	-	-	-	-
271	engine_ctrl	const0	survived	survived	survived	not_proven	survived	killed
272	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
273	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
274	engine_ctrl	inv	killed_fast	killed	-	-	-	-
275	engine_ctrl	const1	survived	survived	survived	not_proven	killed	survived
276	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
